Postal Sector,Postal District,General Location
01 / 02 / 03 / 04 / 05 / 06,D01,Boat Quay / Raffles Place / Marina / Cecil / People's Park
07 / 08,D02,Chinatown / Tanjong Pagar / Anson
14 / 15 / 16,D03,Alexandra / Commonwealth / Queenstown / Tiong Bahru
09 / 10,D04,Harbourfront / Telok Blangah
11 / 12 / 13,D05,Buona Vista / West Coast / Pasir Panjang / Hong Leong Garden / Clementi New Town
17,D06,City Hall / Clarke Quay / High Street
18 / 19,D07,Beach Road / Bugis / Rochor / Middle Road / Golden Mile
20 / 21,D08,Farrer Park / Serangoon Road / Little India
22 / 23,D09,Orchard / Cairnhill / River Valley
24 / 25 / 26 / 27,D10,Tanglin / Ardmore / Holland / Bukit Timah
28 / 29 / 30,D11,Newton / Novena / Watten Estate / Thomson
31 / 32 / 33,D12,Balestier / Toa Payoh / Serangoon
34 / 35 / 36 / 37,D13,Macpherson / Potong Pasir / Braddell
38 / 39 / 40 / 41,D14,Kembangan / Eunos / Paya Lebar / Geylang
42 / 43 / 44 / 45,D15,East Coast / Marine Parade / Katong / Joo Chiat / Amber Road
46 / 47 / 48,D16,Bedok / Upper East Coast / Eastwood / Kew Drive
49 / 50 / 81,D17,Changi Airport / Changi Village / Loyang
51 / 52,D18,Pasir Ris / Tampines
53 / 54 / 55 / 82,D19,Serangoon Gardens / Hougang / Punggol / Sengkang
56 / 57,D20,Ang Mo Kio / Bishan / Thomson
58 / 59,D21,Clementi Park / Upper Bukit Timah / Ulu Pandan
60 / 61 / 62 / 63 / 64,D22,Boon Lay / Jurong / Tuas
65 / 66 / 67 / 68,D23,Hillview / Dairy Farm / Bukit Panjang / Choa Chu Kang
69 / 70 / 71,D24,Lim Chu Kang / Tengah
72 / 73,D25,Admiralty / Woodlands / Kranji / Woodgrove
77 / 78,D26,Mandai / Upper Thomson / Springleaf
75 / 76,D27,Yishun / Sembawang
79 / 80,D28,Seletar / Yio Chu Kang